company,company_location,review_date,country_of_bean_origin,cocoa_percent,rating,counts_of_ingredients,cocoa_butter,vanilla,lecithin,salt,sugar,sweetener_without_sugar,first_taste,company_latitude,company_longitude,origin_latitude,origin_longitude
Akesson's (Pralus),Switzerland,2011,Indonesia,75.0,3.75,4,1,0,1,0,1,0,hay,46.818188,8.227512,-0.789275,113.921327
Alain Ducasse,France,2013,Venezuela,75.0,2.5,5,1,1,1,0,1,0,sandy,46.227638,2.213749,6.42375,-66.58973
Alain Ducasse,France,2013,Peru,75.0,2.5,5,1,1,1,0,1,0,cardboard,46.227638,2.213749,-9.189967,-75.015152
Alain Ducasse,France,2014,Madagascar,75.0,3.0,5,1,1,0,1,1,0,citrus,46.227638,2.213749,-18.766947,46.869107
Alain Ducasse,France,2014,Trinidad And Tobago,65.0,2.75,6,1,1,1,1,1,0,roasty,46.227638,2.213749,10.691803,-61.222503
Alain Ducasse,France,2014,Vietnam,75.0,2.75,5,1,1,0,1,1,0,nutty,46.227638,2.213749,14.058324,108.277199
Alain Ducasse,France,2017,Mexico,75.0,3.5,6,1,1,1,1,1,0,strawberry,46.227638,2.213749,23.634501,-102.552784
Alexandre,Netherlands,2017,Ecuador,70.0,3.5,3,1,0,0,0,1,0,sandy,52.132633,5.291266,-1.831239,-78.183406
Alexandre,Netherlands,2017,Nicaragua,70.0,3.5,3,1,0,0,0,1,0,sandy,52.132633,5.291266,12.865416,-85.207229
Alexandre,Netherlands,2017,Tanzania,70.0,3.5,3,1,0,0,0,1,0,sandy,52.132633,5.291266,-6.369028,34.888822
Alexandre,Netherlands,2017,Vietnam,70.0,3.5,3,1,0,0,0,1,0,sandy,52.132633,5.291266,14.058324,108.277199
Altus aka Cao Artisan,Us,2013,Bolivia,80.0,3.25,4,1,0,1,0,1,0,gritty,37.09024,-95.712891,-16.290154,-63.588653
Altus aka Cao Artisan,Us,2013,Peru,60.0,3.25,4,1,0,1,0,1,0,gritty,37.09024,-95.712891,-9.189967,-75.015152
Altus aka Cao Artisan,Us,2013,Dominican Republic,60.0,3.0,4,1,0,1,0,1,0,sandy,37.09024,-95.712891,18.735693,-70.162651
Altus aka Cao Artisan,Us,2013,Bolivia,60.0,3.0,4,1,0,1,0,1,0,grit,37.09024,-95.712891,-16.290154,-63.588653
Altus aka Cao Artisan,Us,2013,Venezuela,60.0,2.5,4,1,0,1,0,1,0,sweet,37.09024,-95.712891,6.42375,-66.58973
Altus aka Cao Artisan,Us,2016,Peru,60.0,3.0,3,1,0,0,0,1,0,dry,37.09024,-95.712891,-9.189967,-75.015152
Altus aka Cao Artisan,Us,2016,Nicaragua,60.0,2.75,3,1,0,0,0,1,0,powdery,37.09024,-95.712891,12.865416,-85.207229
Altus aka Cao Artisan,Us,2016,Ecuador,60.0,2.75,3,1,0,0,0,1,0,sandy,37.09024,-95.712891,-1.831239,-78.183406
Altus aka Cao Artisan,Us,2016,Bolivia,60.0,2.5,3,1,0,0,0,1,0,sandy,37.09024,-95.712891,-16.290154,-63.588653
